,sig_mos,bak_mos,ovr_mos
dev/1/S07_P20_0.wav,2.009462436278126,3.2601917765537185,1.7671453322929485
dev/1/S07_P20_1.wav,2.191778507859752,3.532574976169915,2.0093241105874062
dev/1/S07_P20_2.wav,2.122460176603092,3.441438495390761,2.0662290911198085
dev/1/S07_P20_3.wav,2.17674052819038,3.3967071444178787,2.0976664577478306
dev/1/S07_P20_4.wav,2.1084179676463624,3.463466539557627,1.973574165671489
dev/1/S07_P20_5.wav,2.1920949128579625,3.500657176533949,2.063180339110195
dev/1/S07_P20_6.wav,2.0759086945842187,3.3087112885687047,2.032409250149046
dev/1/S07_P20_8.wav,2.09618511082545,3.488264053966364,2.187410595962745
dev/1/S07_P20_9.wav,2.3227596254802423,3.370089506784805,2.1547477926143594
dev/1/S07_P20_11.wav,2.156857795589605,3.650363496195652,2.0455597446487666
dev/1/S07_P20_12.wav,2.144619203265832,3.380875257808382,1.964437864676111
dev/1/S07_P20_13.wav,2.193339492680764,3.400961450784285,2.083628483368184
dev/1/S07_P20_15.wav,2.169934856416324,3.421612029409853,2.186053886609528
dev/1/S07_P20_17.wav,2.177344969730276,3.45207368591166,2.09841445376189
dev/1/S07_P20_18.wav,2.2667323778777275,3.7923973427884254,2.1199888760600203
dev/1/S07_P20_19.wav,2.0367537847257307,3.080759314697997,1.6348903953317802
dev/1/S07_P20_20.wav,2.202164044652505,3.6213119748048967,2.0481967521909605
dev/1/S07_P20_21.wav,2.2321169725309,3.370547570204112,2.162316566440548
dev/1/S07_P20_22.wav,2.247363185839956,3.5242386708128324,2.123720483347236
dev/1/S07_P20_23.wav,2.4622240620554883,3.499508618755045,1.9682105857469447
dev/1/S07_P20_25.wav,2.228562620137324,3.5321385290834497,2.0150619362823066
dev/1/S07_P20_26.wav,2.1666569319669224,3.06651781113166,2.2863226138106167
dev/1/S07_P20_27.wav,2.2641952229786533,3.4599993516324967,2.0057947182753737
dev/1/S07_P20_28.wav,2.2789810280657257,3.68901545546322,2.2634660237326223
dev/1/S07_P20_29.wav,2.426523721564007,3.770671378613202,2.20945768046346
dev/1/S07_P20_30.wav,2.215637882750889,3.616250137860425,2.1335757239912274
dev/1/S07_P20_31.wav,2.201214108284367,3.557056133977449,2.148083522076526
dev/1/S07_P20_32.wav,2.1219706840776458,3.3671346669469937,2.071577774564457
dev/1/S07_P20_33.wav,2.191876062555309,3.527467727037313,2.0041361693445467
